,instant,dteday,season,weathersit,temp,casual,registered
314,314,11/10/2011,4,2,15.6,190,2743
315,315,11/11/2011,4,1,13.3,440,2928
316,316,11/12/2011,4,1,14.6,1275,2792
317,317,11/13/2011,4,1,18.1,1004,2713
318,318,11/14/2011,4,1,21.7,595,3891
319,319,11/15/2011,4,2,21.7,449,3746
320,320,11/16/2011,4,3,18.7,145,1672
321,321,11/17/2011,4,2,14,139,2914
322,322,11/18/2011,4,1,11.2,245,3147
323,323,11/19/2011,4,1,13.5,943,2720
324,324,11/20/2011,4,2,19,787,2733
325,325,11/21/2011,4,3,18.3,220,2545
326,326,11/22/2011,4,3,17.1,69,1538
327,327,11/23/2011,4,2,18.1,112,2454
328,328,11/24/2011,4,1,15.3,560,935
329,329,11/25/2011,4,1,15.4,1095,1697
330,330,11/26/2011,4,1,15.4,1249,1819
331,331,11/27/2011,4,1,18.8,810,2261
332,332,11/28/2011,4,1,20.6,253,3614
333,333,11/29/2011,4,2,18.8,96,2818
334,334,11/30/2011,4,1,13.3,188,3425
335,335,12/1/2011,4,1,12.8,182,3545
336,336,12/2/2011,4,1,12.9,268,3672
337,337,12/3/2011,4,1,12.3,706,2908
338,338,12/4/2011,4,1,13.6,634,2851
339,339,12/5/2011,4,2,15.8,233,3578
340,340,12/6/2011,4,3,19,126,2468
341,341,12/7/2011,4,3,16.8,50,655
342,342,12/8/2011,4,1,10.9,150,3172
343,343,12/9/2011,4,1,11.9,261,3359
344,344,12/10/2011,4,1,11.3,502,2688
345,345,12/11/2011,4,1,9.1,377,2366
346,346,12/12/2011,4,1,9.8,143,3167
347,347,12/13/2011,4,1,11.6,155,3368
348,348,12/14/2011,4,2,13,178,3562
349,349,12/15/2011,4,2,17.3,181,3528
350,350,12/16/2011,4,2,15.4,178,3399
351,351,12/17/2011,4,2,10.6,275,2464
352,352,12/18/2011,4,1,9.8,220,2211
353,353,12/19/2011,4,1,11.3,260,3143
354,354,12/20/2011,4,2,15.8,216,3534
355,355,12/21/2011,1,2,17.6,107,2553
356,356,12/22/2011,1,2,17.4,227,2841
357,357,12/23/2011,1,1,15.3,163,2046
358,358,12/24/2011,1,1,12.4,155,856
359,359,12/25/2011,1,1,11.3,303,451
360,360,12/26/2011,1,1,13.2,430,887
361,361,12/27/2011,1,2,13.3,103,1059
362,362,12/28/2011,1,1,12.3,255,2047
363,363,12/29/2011,1,1,10.2,254,2169
364,364,12/30/2011,1,1,12.8,491,2508
365,365,12/31/2011,1,1,16.8,665,1820
366,366,1/1/2012,1,1,15.2,686,1608
367,367,1/2/2012,1,1,11.2,244,1707
368,368,1/3/2012,1,1,6.2,89,2147
369,369,1/4/2012,1,2,4.4,95,2273
370,370,1/5/2012,1,1,10.9,140,3132
371,371,1/6/2012,1,1,13.7,307,3791
372,372,1/7/2012,1,1,16.1,1070,3451
373,373,1/8/2012,1,1,13.8,599,2826
374,374,1/9/2012,1,2,9.2,106,2270
375,375,1/10/2012,1,1,12.7,173,3425
376,376,1/11/2012,1,2,11.2,92,2085
377,377,1/12/2012,1,2,15.7,269,3828
378,378,1/13/2012,1,1,11.2,174,3040
379,379,1/14/2012,1,1,7.4,333,2160
380,380,1/15/2012,1,1,6.8,284,2027
381,381,1/16/2012,1,1,7.8,217,2081
382,382,1/17/2012,1,2,15.3,127,2808
383,383,1/18/2012,1,1,12.4,109,3267
384,384,1/19/2012,1,1,7.8,130,3162
385,385,1/20/2012,1,2,8.9,115,3048
386,386,1/21/2012,1,2,7.1,67,1234
387,387,1/22/2012,1,2,6.7,196,1781
388,388,1/23/2012,1,2,9,145,2287
389,389,1/24/2012,1,1,14,439,3900
390,390,1/25/2012,1,1,12.1,467,3803
391,391,1/26/2012,1,2,14,244,3831
392,392,1/27/2012,1,2,17.4,269,3187
393,393,1/28/2012,1,1,12.9,775,3248
394,394,1/29/2012,1,1,11.6,558,2685
395,395,1/30/2012,1,1,11,126,3498
