"X","instant","dteday","season","weathersit","temp","casual","registered","total_user"
149,149,"2011-05-29",2,1,27.4,2355,2433,4788
150,150,"2011-05-30",2,1,30.1,1549,2549,4098
151,151,"2011-05-31",2,1,31.8,673,3309,3982
152,152,"2011-06-01",2,2,31.3,513,3461,3974
153,153,"2011-06-02",2,1,29.3,736,4232,4968
154,154,"2011-06-03",2,1,25.4,898,4414,5312
155,155,"2011-06-04",2,1,26,1869,3473,5342
156,156,"2011-06-05",2,2,26.6,1685,3221,4906
157,157,"2011-06-06",2,1,27.8,673,3875,4548
158,158,"2011-06-07",2,1,29,763,4070,4833
159,159,"2011-06-08",2,1,31.8,676,3725,4401
160,160,"2011-06-09",2,2,33.1,563,3352,3915
161,161,"2011-06-10",2,1,31,815,3771,4586
162,162,"2011-06-11",2,1,29.7,1729,3237,4966
163,163,"2011-06-12",2,1,28.4,1467,2993,4460
164,164,"2011-06-13",2,1,26,863,4157,5020
165,165,"2011-06-14",2,1,24.8,727,4164,4891
166,166,"2011-06-15",2,1,25.7,769,4411,5180
167,167,"2011-06-16",2,2,25.8,545,3222,3767
168,168,"2011-06-17",2,1,26.6,863,3981,4844
169,169,"2011-06-18",2,1,28.6,1807,3312,5119
170,170,"2011-06-19",2,2,28.7,1639,3105,4744
171,171,"2011-06-20",2,2,26,699,3311,4010
172,172,"2011-06-21",3,2,27.9,774,4061,4835
173,173,"2011-06-22",3,1,30.1,661,3846,4507
174,174,"2011-06-23",3,2,29.9,746,4044,4790
175,175,"2011-06-24",3,1,29.7,969,4022,4991
176,176,"2011-06-25",3,1,28.5,1782,3420,5202
177,177,"2011-06-26",3,1,27.9,1920,3385,5305
178,178,"2011-06-27",3,2,28,854,3854,4708
179,179,"2011-06-28",3,1,30.5,732,3916,4648
180,180,"2011-06-29",3,1,29.9,848,4377,5225
181,181,"2011-06-30",3,1,28.6,1027,4488,5515
182,182,"2011-07-01",3,1,29.6,1246,4116,5362
183,183,"2011-07-02",3,1,30.3,2204,2915,5119
184,184,"2011-07-03",3,2,29.4,2282,2367,4649
185,185,"2011-07-04",3,2,29.8,3065,2978,6043
186,186,"2011-07-05",3,1,30.6,1031,3634,4665
187,187,"2011-07-06",3,1,29.5,784,3845,4629
188,188,"2011-07-07",3,1,30.8,754,3838,4592
189,189,"2011-07-08",3,2,29.1,692,3348,4040
190,190,"2011-07-09",3,1,30.1,1988,3348,5336
191,191,"2011-07-10",3,1,30.6,1743,3138,4881
192,192,"2011-07-11",3,1,31.3,723,3363,4086
193,193,"2011-07-12",3,1,32.6,662,3596,4258
194,194,"2011-07-13",3,1,30.6,748,3594,4342
195,195,"2011-07-14",3,1,27.9,888,4196,5084
196,196,"2011-07-15",3,1,27.2,1318,4220,5538
197,197,"2011-07-16",3,1,28.2,2418,3505,5923
198,198,"2011-07-17",3,1,29.5,2006,3296,5302
199,199,"2011-07-18",3,1,30.6,841,3617,4458
200,200,"2011-07-19",3,1,31.8,752,3789,4541
201,201,"2011-07-20",3,1,31.5,644,3688,4332
202,202,"2011-07-21",3,2,33.4,632,3152,3784
203,203,"2011-07-22",3,1,34.8,562,2825,3387
204,204,"2011-07-23",3,1,34.8,987,2298,3285
205,205,"2011-07-24",3,1,34,1050,2556,3606
206,206,"2011-07-25",3,1,30.5,568,3272,3840
207,207,"2011-07-26",3,1,31.6,750,3840,4590
208,208,"2011-07-27",3,1,31.8,755,3901,4656
209,209,"2011-07-28",3,1,31.9,606,3784,4390
210,210,"2011-07-29",3,1,34.4,670,3176,3846
211,211,"2011-07-30",3,1,33,1559,2916,4475
212,212,"2011-07-31",3,1,33,1524,2778,4302
213,213,"2011-08-01",3,1,31.6,729,3537,4266
214,214,"2011-08-02",3,1,32.1,801,4044,4845
215,215,"2011-08-03",3,2,30,467,3107,3574
216,216,"2011-08-04",3,2,29.1,799,3777,4576
217,217,"2011-08-05",3,1,29.1,1023,3843,4866
218,218,"2011-08-06",3,2,29.4,1521,2773,4294
219,219,"2011-08-07",3,1,30.4,1298,2487,3785
220,220,"2011-08-08",3,1,31.4,846,3480,4326
221,221,"2011-08-09",3,1,31.8,907,3695,4602
222,222,"2011-08-10",3,1,31.4,884,3896,4780
223,223,"2011-08-11",3,1,29.4,812,3980,4792
224,224,"2011-08-12",3,1,29,1051,3854,4905
225,225,"2011-08-13",3,2,28.1,1504,2646,4150
226,226,"2011-08-14",3,2,27.7,1338,2482,3820
227,227,"2011-08-15",3,1,27.3,775,3563,4338
228,228,"2011-08-16",3,1,28.7,721,4004,4725
229,229,"2011-08-17",3,1,29.7,668,4026,4694
230,230,"2011-08-18",3,1,29.2,639,3166,3805
231,231,"2011-08-19",3,2,28.1,797,3356,4153
232,232,"2011-08-20",3,1,28.6,1914,3277,5191
233,233,"2011-08-21",3,1,29.1,1249,2624,3873
234,234,"2011-08-22",3,1,28.4,833,3925,4758
235,235,"2011-08-23",3,1,26.3,1281,4614,5895
236,236,"2011-08-24",3,1,27.6,949,4181,5130
237,237,"2011-08-25",3,2,28.1,435,3107,3542
238,238,"2011-08-26",3,1,28.7,768,3893,4661
239,239,"2011-08-27",3,2,27.9,226,889,1115
240,240,"2011-08-28",3,1,29,1415,2919,4334
241,241,"2011-08-29",3,1,26.1,729,3905,4634
242,242,"2011-08-30",3,1,26.2,775,4429,5204
243,243,"2011-08-31",3,1,26.9,688,4370,5058
244,244,"2011-09-01",3,1,26.9,783,4332,5115
245,245,"2011-09-02",3,2,26.4,875,3852,4727
246,246,"2011-09-03",3,1,27.4,1935,2549,4484
247,247,"2011-09-04",3,1,29.1,2521,2419,4940
248,248,"2011-09-05",3,2,27.6,1236,2115,3351
249,249,"2011-09-06",3,3,22.1,204,2506,2710
250,250,"2011-09-07",3,3,24.6,118,1878,1996
251,251,"2011-09-08",3,3,26,153,1689,1842
252,252,"2011-09-09",3,2,26.7,417,3127,3544
253,253,"2011-09-10",3,1,27.1,1750,3595,5345
254,254,"2011-09-11",3,1,26.8,1633,3413,5046
255,255,"2011-09-12",3,1,26.4,690,4023,4713
256,256,"2011-09-13",3,1,26.7,701,4062,4763
257,257,"2011-09-14",3,1,27.6,647,4138,4785
258,258,"2011-09-15",3,2,23.7,428,3231,3659
259,259,"2011-09-16",3,2,19.2,742,4018,4760
260,260,"2011-09-17",3,2,20.2,1434,3077,4511
261,261,"2011-09-18",3,1,20.8,1353,2921,4274
262,262,"2011-09-19",3,2,22.5,691,3848,4539
263,263,"2011-09-20",3,2,23,438,3203,3641
264,264,"2011-09-21",3,2,24.4,539,3813,4352
265,265,"2011-09-22",3,2,25.8,555,4240,4795
266,266,"2011-09-23",4,2,25,258,2137,2395
267,267,"2011-09-24",4,2,24.9,1776,3647,5423
268,268,"2011-09-25",4,2,26,1544,3466,5010
269,269,"2011-09-26",4,2,26.6,684,3946,4630
270,270,"2011-09-27",4,2,26.1,477,3643,4120
271,271,"2011-09-28",4,2,26,480,3427,3907
272,272,"2011-09-29",4,1,25.3,653,4186,4839
273,273,"2011-09-30",4,1,23.1,830,4372,5202
274,274,"2011-10-01",4,2,16.8,480,1949,2429
275,275,"2011-10-02",4,2,14.6,616,2302,2918
276,276,"2011-10-03",4,2,15.8,330,3240,3570
277,277,"2011-10-04",4,1,19.9,486,3970,4456
278,278,"2011-10-05",4,1,22.1,559,4267,4826
279,279,"2011-10-06",4,1,20.3,639,4126,4765
280,280,"2011-10-07",4,1,20.9,949,4036,4985
281,281,"2011-10-08",4,1,21.4,2235,3174,5409
282,282,"2011-10-09",4,1,22.2,2397,3114,5511
283,283,"2011-10-10",4,1,23.4,1514,3603,5117
284,284,"2011-10-11",4,2,23.2,667,3896,4563
285,285,"2011-10-12",4,3,22.3,217,2199,2416
286,286,"2011-10-13",4,2,24.2,290,2623,2913
287,287,"2011-10-14",4,2,22.6,529,3115,3644
288,288,"2011-10-15",4,1,20.8,1899,3318,5217
289,289,"2011-10-16",4,1,21,1748,3293,5041
290,290,"2011-10-17",4,1,21.9,713,3857,4570
291,291,"2011-10-18",4,2,21.8,637,4111,4748
292,292,"2011-10-19",4,3,22.2,254,2170,2424
293,293,"2011-10-20",4,1,19.5,471,3724,4195
294,294,"2011-10-21",4,1,17.5,676,3628,4304
295,295,"2011-10-22",4,1,17.3,1499,2809,4308
296,296,"2011-10-23",4,1,17.3,1619,2762,4381
297,297,"2011-10-24",4,1,19,699,3488,4187
298,298,"2011-10-25",4,1,19.3,695,3992,4687
299,299,"2011-10-26",4,2,19.9,404,3490,3894
300,300,"2011-10-27",4,2,19.3,240,2419,2659
301,301,"2011-10-28",4,2,13.6,456,3291,3747
302,302,"2011-10-29",4,3,10.4,57,570,627
303,303,"2011-10-30",4,1,13.1,885,2446,3331
304,304,"2011-10-31",4,1,13.9,362,3307,3669
305,305,"2011-11-01",4,1,16.4,410,3658,4068
306,306,"2011-11-02",4,1,15.5,370,3816,4186
307,307,"2011-11-03",4,1,16.7,318,3656,3974
308,308,"2011-11-04",4,2,16.5,470,3576,4046
309,309,"2011-11-05",4,1,13.4,1156,2770,3926
310,310,"2011-11-06",4,1,14.3,952,2697,3649
311,311,"2011-11-07",4,1,16.2,373,3662,4035
312,312,"2011-11-08",4,1,16.7,376,3829,4205
313,313,"2011-11-09",4,1,16.4,305,3804,4109
314,314,"2011-11-10",4,2,15.6,190,2743,2933
315,315,"2011-11-11",4,1,13.3,440,2928,3368
316,316,"2011-11-12",4,1,14.6,1275,2792,4067
317,317,"2011-11-13",4,1,18.1,1004,2713,3717
318,318,"2011-11-14",4,1,21.7,595,3891,4486
319,319,"2011-11-15",4,2,21.7,449,3746,4195
320,320,"2011-11-16",4,3,18.7,145,1672,1817
321,321,"2011-11-17",4,2,14,139,2914,3053
322,322,"2011-11-18",4,1,11.2,245,3147,3392
323,323,"2011-11-19",4,1,13.5,943,2720,3663
324,324,"2011-11-20",4,2,19,787,2733,3520
325,325,"2011-11-21",4,3,18.3,220,2545,2765
326,326,"2011-11-22",4,3,17.1,69,1538,1607
327,327,"2011-11-23",4,2,18.1,112,2454,2566
328,328,"2011-11-24",4,1,15.3,560,935,1495
329,329,"2011-11-25",4,1,15.4,1095,1697,2792
330,330,"2011-11-26",4,1,15.4,1249,1819,3068
331,331,"2011-11-27",4,1,18.8,810,2261,3071
332,332,"2011-11-28",4,1,20.6,253,3614,3867
333,333,"2011-11-29",4,2,18.8,96,2818,2914
334,334,"2011-11-30",4,1,13.3,188,3425,3613
335,335,"2011-12-01",4,1,12.8,182,3545,3727
336,336,"2011-12-02",4,1,12.9,268,3672,3940
337,337,"2011-12-03",4,1,12.3,706,2908,3614
338,338,"2011-12-04",4,1,13.6,634,2851,3485
339,339,"2011-12-05",4,2,15.8,233,3578,3811
340,340,"2011-12-06",4,3,19,126,2468,2594
341,341,"2011-12-07",4,3,16.8,50,655,705
342,342,"2011-12-08",4,1,10.9,150,3172,3322
343,343,"2011-12-09",4,1,11.9,261,3359,3620
344,344,"2011-12-10",4,1,11.3,502,2688,3190
345,345,"2011-12-11",4,1,9.1,377,2366,2743
346,346,"2011-12-12",4,1,9.8,143,3167,3310
347,347,"2011-12-13",4,1,11.6,155,3368,3523
348,348,"2011-12-14",4,2,13,178,3562,3740
349,349,"2011-12-15",4,2,17.3,181,3528,3709
350,350,"2011-12-16",4,2,15.4,178,3399,3577
351,351,"2011-12-17",4,2,10.6,275,2464,2739
352,352,"2011-12-18",4,1,9.8,220,2211,2431
353,353,"2011-12-19",4,1,11.3,260,3143,3403
354,354,"2011-12-20",4,2,15.8,216,3534,3750
355,355,"2011-12-21",1,2,17.6,107,2553,2660
356,356,"2011-12-22",1,2,17.4,227,2841,3068
357,357,"2011-12-23",1,1,15.3,163,2046,2209
358,358,"2011-12-24",1,1,12.4,155,856,1011
359,359,"2011-12-25",1,1,11.3,303,451,754
360,360,"2011-12-26",1,1,13.2,430,887,1317
361,361,"2011-12-27",1,2,13.3,103,1059,1162
362,362,"2011-12-28",1,1,12.3,255,2047,2302
363,363,"2011-12-29",1,1,10.2,254,2169,2423
364,364,"2011-12-30",1,1,12.8,491,2508,2999
365,365,"2011-12-31",1,1,16.8,665,1820,2485
366,366,"2012-01-01",1,1,15.2,686,1608,2294
367,367,"2012-01-02",1,1,11.2,244,1707,1951
368,368,"2012-01-03",1,1,6.2,89,2147,2236
369,369,"2012-01-04",1,2,4.4,95,2273,2368
370,370,"2012-01-05",1,1,10.9,140,3132,3272
371,371,"2012-01-06",1,1,13.7,307,3791,4098
372,372,"2012-01-07",1,1,16.1,1070,3451,4521
373,373,"2012-01-08",1,1,13.8,599,2826,3425
374,374,"2012-01-09",1,2,9.2,106,2270,2376
375,375,"2012-01-10",1,1,12.7,173,3425,3598
376,376,"2012-01-11",1,2,11.2,92,2085,2177
377,377,"2012-01-12",1,2,15.7,269,3828,4097
378,378,"2012-01-13",1,1,11.2,174,3040,3214
379,379,"2012-01-14",1,1,7.4,333,2160,2493
380,380,"2012-01-15",1,1,6.8,284,2027,2311
381,381,"2012-01-16",1,1,7.8,217,2081,2298
382,382,"2012-01-17",1,2,15.3,127,2808,2935
383,383,"2012-01-18",1,1,12.4,109,3267,3376
384,384,"2012-01-19",1,1,7.8,130,3162,3292
385,385,"2012-01-20",1,2,8.9,115,3048,3163
386,386,"2012-01-21",1,2,7.1,67,1234,1301
387,387,"2012-01-22",1,2,6.7,196,1781,1977
388,388,"2012-01-23",1,2,9,145,2287,2432
389,389,"2012-01-24",1,1,14,439,3900,4339
390,390,"2012-01-25",1,1,12.1,467,3803,4270
391,391,"2012-01-26",1,2,14,244,3831,4075
392,392,"2012-01-27",1,2,17.4,269,3187,3456
393,393,"2012-01-28",1,1,12.9,775,3248,4023
394,394,"2012-01-29",1,1,11.6,558,2685,3243
395,395,"2012-01-30",1,1,11,126,3498,3624
